READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
154.853286	0.251830	-0.280130	9.22319043966143e-09	1.13073396055539e-09	-1.13073396055539e-09
155.374234	0.259286	-0.269117	9.78830025338667e-09	1.18700572391364e-09	-1.18700572391364e-09
155.887066	0.260623	-0.253546	1.24336751459079e-08	1.39421323389157e-09	-1.39421323389157e-09
156.391037	0.261926	-0.243349	1.27140300306569e-08	1.45332007970663e-09	-1.45332007970663e-09
156.907048	0.252968	-0.254085	1.02307503004077e-08	1.24066070420585e-09	-1.24066070420585e-09
157.404076	0.261210	-0.244061	9.37856949321721e-09	1.15733000396632e-09	-1.15733000396632e-09
157.950415	0.335776	-0.285129	7.25010853181772e-09	8.792047983318e-10	-8.792047983318e-10
158.541476	0.257102	-0.255284	9.83917635748976e-09	1.15158846130511e-09	-1.15158846130511e-09
159.134123	0.335189	-0.335545	7.23798422703131e-09	8.87353900137245e-10	-8.87353900137245e-10
159.758381	0.296265	-0.289069	8.2037260271701e-09	1.0168351289571e-09	-1.0168351289571e-09
160.345366	0.351562	-0.290720	7.56942966981579e-09	9.17928202345424e-10	-9.17928202345424e-10
161.012998	0.283486	-0.316070	8.06762057310987e-09	9.78342692947776e-10	-9.78342692947776e-10
161.541911	0.302538	-0.245428	6.81957751736417e-09	9.36741000283973e-10	-9.36741000283973e-10
162.111604	0.261247	-0.267155	5.86697874228049e-09	8.89142913499967e-10	-8.89142913499967e-10
162.669013	0.322973	-0.296162	7.47295012028074e-09	9.26256953274883e-10	-9.26256953274883e-10
163.287760	0.298446	-0.295773	7.97694332083605e-09	9.70681764233833e-10	-9.70681764233833e-10
163.870768	0.313221	-0.284563	7.93416308546305e-09	9.62158614362806e-10	-9.62158614362806e-10
164.435075	0.257746	-0.251086	9.90095609483961e-09	1.15881925616125e-09	-1.15881925616125e-09
165.029752	0.349806	-0.336931	6.49169117257346e-09	7.95860749544457e-10	-7.95860749544457e-10
165.616346	0.275592	-0.236788	1.02327186392621e-08	1.14405269869587e-09	-1.14405269869587e-09
166.189189	0.259617	-0.297251	8.40896803567195e-09	1.01973714725762e-09	-1.01973714725762e-09
166.741629	0.292513	-0.292823	8.32137273204698e-09	1.02017390129215e-09	-1.02017390129215e-09
167.304102	0.286908	-0.269960	9.1353472625877e-09	1.10782356713183e-09	-1.10782356713183e-09
167.828344	0.298186	-0.237334	6.75131173365251e-09	1.00519150331565e-09	-1.00519150331565e-09
168.430480	0.292058	-0.303951	9.11571745586232e-09	1.10544311844991e-09	-1.10544311844991e-09
169.055190	0.291821	-0.332652	7.75361530051715e-09	9.40263994420061e-10	-9.40263994420061e-10
169.646268	0.302079	-0.299256	7.08806648366774e-09	8.59554337367491e-10	-8.59554337367491e-10
170.250730	0.250922	-0.302383	5.33994198908609e-09	7.9505505427862e-10	-7.9505505427862e-10
170.756369	0.311047	-0.254717	8.15450185524982e-09	9.88878569266437e-10	-9.88878569266437e-10
171.375401	0.277350	-0.307986	7.94685137515346e-09	9.63697278919976e-10	-9.63697278919976e-10
171.998730	0.335430	-0.345979	6.25228801333194e-09	7.63838580983488e-10	-7.63838580983488e-10
172.620007	0.276349	-0.285846	4.87268380719608e-09	7.26376813021011e-10	-7.26376813021011e-10
173.172424	0.246987	-0.276068	5.50739770284292e-09	7.94924408745587e-10	-7.94924408745587e-10
173.671832	0.275981	-0.252421	5.39408369587788e-09	7.78568923613381e-10	-7.78568923613381e-10
174.176009	0.284196	-0.228196	5.21855451242452e-09	7.7793614797125e-10	-7.7793614797125e-10
174.743930	0.349635	-0.283724	5.76596477765992e-09	7.41087248549513e-10	-7.41087248549513e-10
175.329083	0.298213	-0.235518	5.40935411604726e-09	7.64998173309988e-10	-7.64998173309988e-10
175.969673	0.294552	-0.342378	3.89627580727589e-09	5.80822507829777e-10	-5.80822507829777e-10
176.521802	0.254813	-0.257578	5.00903768446009e-09	7.46703241005862e-10	-7.46703241005862e-10
177.201304	0.354571	-0.424689	3.53206436251097e-09	5.26529075572807e-10	-5.26529075572807e-10
177.851276	0.270357	-0.295401	4.88163400202246e-09	7.27711017176922e-10	-7.27711017176922e-10
178.451414	0.241308	-0.329781	4.53815295321358e-09	6.9115035846991e-10	-6.9115035846991e-10
178.978241	0.326503	-0.285519	3.97695463342518e-09	6.12818840174429e-10	-6.12818840174429e-10
179.598231	0.229578	-0.293487	5.4565292968716e-09	7.95916628429509e-10	-7.95916628429509e-10
180.087965	0.282479	-0.260156	5.68652110594558e-09	8.33565813910951e-10	-8.33565813910951e-10
180.672108	0.317475	-0.301664	4.63541683208388e-09	7.02499255561497e-10	-7.02499255561497e-10
181.333315	0.332338	-0.343732	4.19185624109389e-09	6.3527744713786e-10	-6.3527744713786e-10
181.970810	0.267700	-0.305157	5.01391495385081e-09	7.47430298366189e-10	-7.47430298366189e-10
182.507936	0.271420	-0.269425	5.3926185191583e-09	8.03884088008737e-10	-8.03884088008737e-10
183.085182	0.286620	-0.305826	5.01221051263802e-09	7.47176205729396e-10	-7.47176205729396e-10
